parameter,parameter_canopy_group,response_variable,sensitivity_value,se_value,response_canopy_group
h_overstory,none,prop_c_mort,0,0,Upper Canopy
h_understory,none,prop_c_mort,0,0,Upper Canopy
k_mort_u,up,prop_c_mort,9.489522241933196e-4,6.152933093985207e-4,Upper Canopy
k_consumption,up,prop_c_mort,-2.970937372204435e-4,2.2788776460274174e-4,Upper Canopy
k1_mort_o,up,prop_c_mort,0.18002422415123054,0.03915018072949619,Upper Canopy
k2_mort_o,up,prop_c_mort,0.6851427194917671,0.10499146122276574,Upper Canopy
I',none,prop_c_mort,0.0017865990548254064,7.702627673771109e-4,Upper Canopy
h_overstory,none,prop_mort_consumed,0,0,Upper Canopy
h_understory,none,prop_mort_consumed,0,0,Upper Canopy
k_mort_u,up,prop_mort_consumed,8.532646792028019e-4,6.31301363285692e-4,Upper Canopy
k_consumption,up,prop_mort_consumed,0.12031117256646244,0.04015800701884567,Upper Canopy
k1_mort_o,up,prop_mort_consumed,0.15541185826059578,0.042183685569845114,Upper Canopy
k2_mort_o,up,prop_mort_consumed,0.5296045702131151,0.10524057134553627,Upper Canopy
I',none,prop_mort_consumed,0.0017297881242283478,7.344581670493684e-4,Upper Canopy
h_overstory,none,prop_c_consumed,0,0,Upper Canopy
h_understory,none,prop_c_consumed,0,0,Upper Canopy
k_mort_u,up,prop_c_consumed,0.0014568899205625867,0.001090479055281813,Upper Canopy
k_consumption,up,prop_c_consumed,0.040521968034936136,0.019659892644292597,Upper Canopy
k1_mort_o,up,prop_c_consumed,0.10620520406178531,0.03711548853864797,Upper Canopy
k2_mort_o,up,prop_c_consumed,0.5182744324009544,0.1167486229430911,Upper Canopy
I',none,prop_c_consumed,0.002309603548668358,0.0011675871055679772,Upper Canopy
h_overstory,none,prop_c_remain,0,0,Upper Canopy
h_understory,none,prop_c_remain,0,0,Upper Canopy
k_mort_u,up,prop_c_remain,-1.8682058015961992e-4,3.1516718331294576e-4,Upper Canopy
k_consumption,up,prop_c_remain,0.03548026166793099,0.017554516220457485,Upper Canopy
k1_mort_o,up,prop_c_remain,0.16946148136056946,0.039315722988758024,Upper Canopy
k2_mort_o,up,prop_c_remain,0.5191745770714673,0.0904440209057352,Upper Canopy
I',none,prop_c_remain,-4.956226144044067e-4,4.591984164947165e-4,Upper Canopy
h_overstory,none,prop_c_mort,0,0,Lower Canopy
h_understory,none,prop_c_mort,0,0,Lower Canopy
k_mort_u,low,prop_c_mort,0.3542914570923927,0.050627133008722874,Lower Canopy
k_consumption,low,prop_c_mort,0,0,Lower Canopy
k1_mort_o,low,prop_c_mort,0,0,Lower Canopy
k2_mort_o,low,prop_c_mort,0,0,Lower Canopy
I',none,prop_c_mort,0.7786702645092559,0.0748905497497637,Lower Canopy
h_overstory,none,prop_mort_consumed,0,0,Lower Canopy
h_understory,none,prop_mort_consumed,0,0,Lower Canopy
k_mort_u,low,prop_mort_consumed,0.32742754774802396,0.04756117342423229,Lower Canopy
k_consumption,low,prop_mort_consumed,0.24214448671533478,0.043063958010171516,Lower Canopy
k1_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
I',none,prop_mort_consumed,0.6159780895874715,0.06477832612754637,Lower Canopy
h_overstory,none,prop_c_consumed,0,0,Lower Canopy
h_understory,none,prop_c_consumed,0,0,Lower Canopy
k_mort_u,low,prop_c_consumed,0.3553066395281182,0.043363274077181914,Lower Canopy
k_consumption,low,prop_c_consumed,0.08264341596155368,0.0211149436494184,Lower Canopy
k1_mort_o,low,prop_c_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_c_consumed,0,0,Lower Canopy
I',none,prop_c_consumed,0.7119096537507106,0.07751353367416204,Lower Canopy
h_overstory,none,prop_c_remain,0,0,Lower Canopy
h_understory,none,prop_c_remain,0,0,Lower Canopy
k_mort_u,low,prop_c_remain,-0.055768682090658134,0.04108444022313416,Lower Canopy
k_consumption,low,prop_c_remain,0.2681790418853854,0.05250904046204815,Lower Canopy
k1_mort_o,low,prop_c_remain,0,0,Lower Canopy
k2_mort_o,low,prop_c_remain,0,0,Lower Canopy
I',none,prop_c_remain,0.0245273237801653,0.048254312991795376,Lower Canopy
