parameter,response_variable,sensitivity_value,se_value
h_overstory,prop_c_mort,0,0
h_understory,prop_c_mort,0,0
k_mort_u,prop_c_mort,0.30289957253278843,0.05389179723330168
k_consumption,prop_c_mort,0,0
k1_mort_o,prop_c_mort,0,0
k2_mort_o,prop_c_mort,0,0
I',prop_c_mort,0.7283710421638548,0.06994696564798585
h_overstory,prop_mort_consumed,0,0
h_understory,prop_mort_consumed,0,0
k_mort_u,prop_mort_consumed,0.22672983065618393,0.04300686390532297
k_consumption,prop_mort_consumed,0.1960390711775976,0.03996804402151848
k1_mort_o,prop_mort_consumed,0,0
k2_mort_o,prop_mort_consumed,0,0
I',prop_mort_consumed,0.511178510796205,0.062199902764597914
h_overstory,prop_c_consumed,0,0
h_understory,prop_c_consumed,0,0
k_mort_u,prop_c_consumed,0.2821249493752803,0.04899026508508173
k_consumption,prop_c_consumed,0.059978052563656355,0.0188994470226913
k1_mort_o,prop_c_consumed,0,0
k2_mort_o,prop_c_consumed,0,0
I',prop_c_consumed,0.656189971341182,0.06123015881265686
h_overstory,prop_c_remain,0,0
h_understory,prop_c_remain,0,0
k_mort_u,prop_c_remain,0.0037764239761456683,0.04071875525780286
k_consumption,prop_c_remain,0.24637407935004982,0.052438051857806686
k1_mort_o,prop_c_remain,0,0
k2_mort_o,prop_c_remain,0,0
I',prop_c_remain,0.10134990162989592,0.049651170957875954
