parameter,parameter_canopy_group,response_variable,sensitivity_value,se_value,response_canopy_group
h_overstory,none,prop_c_mort,0,0,Upper Canopy
h_understory,none,prop_c_mort,0,0,Upper Canopy
k_mort_u,up,prop_c_mort,0.06756324920602907,0.03452516788691865,Upper Canopy
k_consumption,up,prop_c_mort,6.747926759251277e-4,0.008907857977278609,Upper Canopy
k1_mort_o,up,prop_c_mort,0.028705601474277326,0.016229208413777365,Upper Canopy
k2_mort_o,up,prop_c_mort,0.6161524426660694,0.09407652957958203,Upper Canopy
I',none,prop_c_mort,0.08947594178551341,0.03971948338395604,Upper Canopy
h_overstory,none,prop_mort_consumed,0,0,Upper Canopy
h_understory,none,prop_mort_consumed,0,0,Upper Canopy
k_mort_u,up,prop_mort_consumed,0.05112883403481419,0.02716792954407081,Upper Canopy
k_consumption,up,prop_mort_consumed,0.05156570789627324,0.02593391219255859,Upper Canopy
k1_mort_o,up,prop_mort_consumed,0.03781664285420997,0.017910081511474538,Upper Canopy
k2_mort_o,up,prop_mort_consumed,0.4419019745113882,0.08055454092586202,Upper Canopy
I',none,prop_mort_consumed,0.060632058572244525,0.03013802924859067,Upper Canopy
h_overstory,none,prop_c_consumed,0,0,Upper Canopy
h_understory,none,prop_c_consumed,0,0,Upper Canopy
k_mort_u,up,prop_c_consumed,0.09577980374806669,0.04525724612459239,Upper Canopy
k_consumption,up,prop_c_consumed,-0.01235243647249365,0.02084880528521721,Upper Canopy
k1_mort_o,up,prop_c_consumed,-1.993247318957065e-4,0.009952819591887135,Upper Canopy
k2_mort_o,up,prop_c_consumed,0.43768374878625654,0.09091904064123191,Upper Canopy
I',none,prop_c_consumed,0.08576625583289413,0.03664585117396312,Upper Canopy
h_overstory,none,prop_c_remain,0,0,Upper Canopy
h_understory,none,prop_c_remain,0,0,Upper Canopy
k_mort_u,up,prop_c_remain,0.017230673542533912,0.0191474838411247,Upper Canopy
k_consumption,up,prop_c_remain,0.034268760567798214,0.024510113198414882,Upper Canopy
k1_mort_o,up,prop_c_remain,0.14668855141042794,0.035041346542142485,Upper Canopy
k2_mort_o,up,prop_c_remain,0.39419440870625666,0.07787914100991232,Upper Canopy
I',none,prop_c_remain,1.345883981308393e-4,0.022256361184678174,Upper Canopy
h_overstory,none,prop_c_mort,0,0,Lower Canopy
h_understory,none,prop_c_mort,0,0,Lower Canopy
k_mort_u,low,prop_c_mort,0.3305620642119498,0.048417039661912714,Lower Canopy
k_consumption,low,prop_c_mort,0,0,Lower Canopy
k1_mort_o,low,prop_c_mort,0,0,Lower Canopy
k2_mort_o,low,prop_c_mort,0,0,Lower Canopy
I',none,prop_c_mort,0.6290669205512783,0.07244369092944065,Lower Canopy
h_overstory,none,prop_mort_consumed,0,0,Lower Canopy
h_understory,none,prop_mort_consumed,0,0,Lower Canopy
k_mort_u,low,prop_mort_consumed,0.24257293117483938,0.04586789239571837,Lower Canopy
k_consumption,low,prop_mort_consumed,0.1430260779024942,0.039563582350497124,Lower Canopy
k1_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
I',none,prop_mort_consumed,0.49879512175355845,0.05738196187508931,Lower Canopy
h_overstory,none,prop_c_consumed,0,0,Lower Canopy
h_understory,none,prop_c_consumed,0,0,Lower Canopy
k_mort_u,low,prop_c_consumed,0.3062194926724742,0.04384384815762143,Lower Canopy
k_consumption,low,prop_c_consumed,0.03437456159055662,0.018743562148095905,Lower Canopy
k1_mort_o,low,prop_c_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_c_consumed,0,0,Lower Canopy
I',none,prop_c_consumed,0.5812978853264874,0.0638962332239507,Lower Canopy
h_overstory,none,prop_c_remain,0,0,Lower Canopy
h_understory,none,prop_c_remain,0,0,Lower Canopy
k_mort_u,low,prop_c_remain,0.0238920381447496,0.0440363101393755,Lower Canopy
k_consumption,low,prop_c_remain,0.37839738664620315,0.05548013713286484,Lower Canopy
k1_mort_o,low,prop_c_remain,0,0,Lower Canopy
k2_mort_o,low,prop_c_remain,0,0,Lower Canopy
I',none,prop_c_remain,0.12241670925080592,0.047462508560557705,Lower Canopy
