parameter,parameter_canopy_group,response_variable,sensitivity_value,se_value,response_canopy_group
h_overstory,none,prop_c_mort,0,0,Upper Canopy
h_understory,none,prop_c_mort,0,0,Upper Canopy
k_mort_u,up,prop_c_mort,0.387440104121958,0.0491544043502431,Upper Canopy
k_consumption,up,prop_c_mort,0,0,Upper Canopy
k1_mort_o,up,prop_c_mort,0,0,Upper Canopy
k2_mort_o,up,prop_c_mort,0,0,Upper Canopy
I',none,prop_c_mort,0.5552171895796203,0.07493719707388086,Upper Canopy
h_overstory,none,prop_mort_consumed,0,0,Upper Canopy
h_understory,none,prop_mort_consumed,0,0,Upper Canopy
k_mort_u,up,prop_mort_consumed,0.2750690987762414,0.03856276171125297,Upper Canopy
k_consumption,up,prop_mort_consumed,0.1177455817772677,0.038342262943063796,Upper Canopy
k1_mort_o,up,prop_mort_consumed,0,0,Upper Canopy
k2_mort_o,up,prop_mort_consumed,0,0,Upper Canopy
I',none,prop_mort_consumed,0.4061644702846381,0.055905276741735996,Upper Canopy
h_overstory,none,prop_c_consumed,0,0,Upper Canopy
h_understory,none,prop_c_consumed,0,0,Upper Canopy
k_mort_u,up,prop_c_consumed,0.3414915220141402,0.04421710361901417,Upper Canopy
k_consumption,up,prop_c_consumed,0.012327365018244493,0.016425602900676982,Upper Canopy
k1_mort_o,up,prop_c_consumed,0,0,Upper Canopy
k2_mort_o,up,prop_c_consumed,0,0,Upper Canopy
I',none,prop_c_consumed,0.5129759147872479,0.061722823701960465,Upper Canopy
h_overstory,none,prop_c_remain,0,0,Upper Canopy
h_understory,none,prop_c_remain,0,0,Upper Canopy
k_mort_u,up,prop_c_remain,-9.14809967980189e-5,0.04249284776191128,Upper Canopy
k_consumption,up,prop_c_remain,0.4519034401807042,0.07011285213228277,Upper Canopy
k1_mort_o,up,prop_c_remain,0,0,Upper Canopy
k2_mort_o,up,prop_c_remain,0,0,Upper Canopy
I',none,prop_c_remain,0.16283095557390592,0.04984745676466765,Upper Canopy
h_overstory,none,prop_c_mort,0,0,Lower Canopy
h_understory,none,prop_c_mort,0,0,Lower Canopy
k_mort_u,low,prop_c_mort,0.3236673356004308,0.04856593419055134,Lower Canopy
k_consumption,low,prop_c_mort,0,0,Lower Canopy
k1_mort_o,low,prop_c_mort,0,0,Lower Canopy
k2_mort_o,low,prop_c_mort,0,0,Lower Canopy
I',none,prop_c_mort,0.5444146965844735,0.06353986953773358,Lower Canopy
h_overstory,none,prop_mort_consumed,0,0,Lower Canopy
h_understory,none,prop_mort_consumed,0,0,Lower Canopy
k_mort_u,low,prop_mort_consumed,0.23868804544433445,0.042864936345661867,Lower Canopy
k_consumption,low,prop_mort_consumed,0.19904468008156137,0.038158138933528214,Lower Canopy
k1_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
I',none,prop_mort_consumed,0.40198351081404504,0.058874583314859265,Lower Canopy
h_overstory,none,prop_c_consumed,0,0,Lower Canopy
h_understory,none,prop_c_consumed,0,0,Lower Canopy
k_mort_u,low,prop_c_consumed,0.26877310939664056,0.039974028691323306,Lower Canopy
k_consumption,low,prop_c_consumed,0.04759357211536839,0.018817172402072976,Lower Canopy
k1_mort_o,low,prop_c_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_c_consumed,0,0,Lower Canopy
I',none,prop_c_consumed,0.4957847872766629,0.06393465848360998,Lower Canopy
h_overstory,none,prop_c_remain,0,0,Lower Canopy
h_understory,none,prop_c_remain,0,0,Lower Canopy
k_mort_u,low,prop_c_remain,0.012975779901812102,0.04339176502074052,Lower Canopy
k_consumption,low,prop_c_remain,0.41698739831958953,0.0729195523315815,Lower Canopy
k1_mort_o,low,prop_c_remain,0,0,Lower Canopy
k2_mort_o,low,prop_c_remain,0,0,Lower Canopy
I',none,prop_c_remain,0.09635077322037622,0.05415552495264331,Lower Canopy
