parameter,response_variable,sensitivity_value,se_value
h_overstory,prop_c_mort,0,0
h_understory,prop_c_mort,0,0
k_mort_u,prop_c_mort,0.4249940601818584,0.04314255698942705
k_consumption,prop_c_mort,0,0
k1_mort_o,prop_c_mort,0,0
k2_mort_o,prop_c_mort,0,0
I',prop_c_mort,0.5115464312924225,0.05617450667281138
h_overstory,prop_mort_consumed,0,0
h_understory,prop_mort_consumed,0,0
k_mort_u,prop_mort_consumed,0.3590927082442003,0.03989008047331813
k_consumption,prop_mort_consumed,0.21674209126060115,0.033942477207875084
k1_mort_o,prop_mort_consumed,0,0
k2_mort_o,prop_mort_consumed,0,0
I',prop_mort_consumed,0.41020410065561536,0.048329015511483504
h_overstory,prop_c_consumed,0,0
h_understory,prop_c_consumed,0,0
k_mort_u,prop_c_consumed,0.4225997072232634,0.04297523388972211
k_consumption,prop_c_consumed,0.06018997394793941,0.018596205436668983
k1_mort_o,prop_c_consumed,0,0
k2_mort_o,prop_c_consumed,0,0
I',prop_c_consumed,0.5014817019894402,0.05020280245300383
h_overstory,prop_c_remain,0,0
h_understory,prop_c_remain,0,0
k_mort_u,prop_c_remain,0.5079802770881241,0.0463740171970842
k_consumption,prop_c_remain,0.6479070174540583,0.062603767523649
k1_mort_o,prop_c_remain,0,0
k2_mort_o,prop_c_remain,0,0
I',prop_c_remain,0.6176990224456838,0.05548555811304951
