parameter,parameter_canopy_group,response_variable,sensitivity_value,se_value,response_canopy_group
h_overstory,none,prop_c_mort,0,0,Upper Canopy
h_understory,none,prop_c_mort,0,0,Upper Canopy
k_mort_u,up,prop_c_mort,6.162351190292878e-4,7.958899089999858e-4,Upper Canopy
k_consumption,up,prop_c_mort,-6.847919679523064e-4,3.973165066902008e-4,Upper Canopy
k1_mort_o,up,prop_c_mort,0.08935456260992909,0.022237228758722912,Upper Canopy
k2_mort_o,up,prop_c_mort,0.9922358870956446,0.039322688118236304,Upper Canopy
I',none,prop_c_mort,-7.202724394300942e-4,0.0010113136695150723,Upper Canopy
h_overstory,none,prop_mort_consumed,0,0,Upper Canopy
h_understory,none,prop_mort_consumed,0,0,Upper Canopy
k_mort_u,up,prop_mort_consumed,1.9644046678376516e-4,6.40058864211816e-4,Upper Canopy
k_consumption,up,prop_mort_consumed,0.17513556355704507,0.04481236353150036,Upper Canopy
k1_mort_o,up,prop_mort_consumed,0.1077954563828495,0.029429433412368006,Upper Canopy
k2_mort_o,up,prop_mort_consumed,0.8357042688897703,0.05110189217670514,Upper Canopy
I',none,prop_mort_consumed,-7.659970379812991e-4,8.415873041028722e-4,Upper Canopy
h_overstory,none,prop_c_consumed,0,0,Upper Canopy
h_understory,none,prop_c_consumed,0,0,Upper Canopy
k_mort_u,up,prop_c_consumed,7.203334410676569e-4,0.0013338321819253325,Upper Canopy
k_consumption,up,prop_c_consumed,0.06421534833885811,0.046712214801554866,Upper Canopy
k1_mort_o,up,prop_c_consumed,0.03331542752915525,0.03869572068375954,Upper Canopy
k2_mort_o,up,prop_c_consumed,0.9729579220547317,0.04098398596933128,Upper Canopy
I',none,prop_c_consumed,-0.0024521429264458654,0.001973477144408141,Upper Canopy
h_overstory,none,prop_c_remain,0,0,Upper Canopy
h_understory,none,prop_c_remain,0,0,Upper Canopy
k_mort_u,up,prop_c_remain,2.3826826920143483e-4,7.527256517106666e-4,Upper Canopy
k_consumption,up,prop_c_remain,0.3827487506257546,0.047849470161948626,Upper Canopy
k1_mort_o,up,prop_c_remain,0.1938340816269488,0.032447578009442306,Upper Canopy
k2_mort_o,up,prop_c_remain,0.9132399538073916,0.04692935835805009,Upper Canopy
I',none,prop_c_remain,7.46582305108162e-4,9.851172599996386e-4,Upper Canopy
h_overstory,none,prop_c_mort,0,0,Lower Canopy
h_understory,none,prop_c_mort,0,0,Lower Canopy
k_mort_u,low,prop_c_mort,0.33043018825959786,0.045012536536645574,Lower Canopy
k_consumption,low,prop_c_mort,0,0,Lower Canopy
k1_mort_o,low,prop_c_mort,0,0,Lower Canopy
k2_mort_o,low,prop_c_mort,0,0,Lower Canopy
I',none,prop_c_mort,0.5704763107081796,0.06892460941279063,Lower Canopy
h_overstory,none,prop_mort_consumed,0,0,Lower Canopy
h_understory,none,prop_mort_consumed,0,0,Lower Canopy
k_mort_u,low,prop_mort_consumed,0.2677971884839463,0.038318459634534216,Lower Canopy
k_consumption,low,prop_mort_consumed,0.20245296826673306,0.034436513498990746,Lower Canopy
k1_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
I',none,prop_mort_consumed,0.4461916199813118,0.05005227232242287,Lower Canopy
h_overstory,none,prop_c_consumed,0,0,Lower Canopy
h_understory,none,prop_c_consumed,0,0,Lower Canopy
k_mort_u,low,prop_c_consumed,0.32517076443904513,0.03931374712055897,Lower Canopy
k_consumption,low,prop_c_consumed,0.044500381590507315,0.020302701339793887,Lower Canopy
k1_mort_o,low,prop_c_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_c_consumed,0,0,Lower Canopy
I',none,prop_c_consumed,0.5811081331511495,0.0517060427353391,Lower Canopy
h_overstory,none,prop_c_remain,0,0,Lower Canopy
h_understory,none,prop_c_remain,0,0,Lower Canopy
k_mort_u,low,prop_c_remain,0.525878852668952,0.05100945892099199,Lower Canopy
k_consumption,low,prop_c_remain,0.6766796036541077,0.05477017995781128,Lower Canopy
k1_mort_o,low,prop_c_remain,0,0,Lower Canopy
k2_mort_o,low,prop_c_remain,0,0,Lower Canopy
I',none,prop_c_remain,0.6404576424404689,0.05482870629047165,Lower Canopy
