parameter,parameter_canopy_group,response_variable,sensitivity_value,se_value,response_canopy_group
h_overstory,none,prop_c_mort,0,0,Upper Canopy
h_understory,none,prop_c_mort,0,0,Upper Canopy
k_mort_u,up,prop_c_mort,0.1638345106031796,0.02647426274284736,Upper Canopy
k_consumption,up,prop_c_mort,0.04253413426318876,0.014653722005452703,Upper Canopy
k1_mort_o,up,prop_c_mort,0.058640311851219235,0.014057316130585988,Upper Canopy
k2_mort_o,up,prop_c_mort,0.8190668835905812,0.04507252645471249,Upper Canopy
I',none,prop_c_mort,0.28697643014822066,0.0379781393876449,Upper Canopy
h_overstory,none,prop_mort_consumed,0,0,Upper Canopy
h_understory,none,prop_mort_consumed,0,0,Upper Canopy
k_mort_u,up,prop_mort_consumed,0.1575904577653959,0.029338869826362735,Upper Canopy
k_consumption,up,prop_mort_consumed,0.18684148713119467,0.029543918019137562,Upper Canopy
k1_mort_o,up,prop_mort_consumed,0.08640156101310478,0.017367539217387148,Upper Canopy
k2_mort_o,up,prop_mort_consumed,0.7289518622823449,0.049018206784071955,Upper Canopy
I',none,prop_mort_consumed,0.2727748937091059,0.03695198915685904,Upper Canopy
h_overstory,none,prop_c_consumed,0,0,Upper Canopy
h_understory,none,prop_c_consumed,0,0,Upper Canopy
k_mort_u,up,prop_c_consumed,0.1791177206074472,0.028302268520830138,Upper Canopy
k_consumption,up,prop_c_consumed,0.10814091719787707,0.024254968958550074,Upper Canopy
k1_mort_o,up,prop_c_consumed,0.07415879585219616,0.018961178621555563,Upper Canopy
k2_mort_o,up,prop_c_consumed,0.7530561338723517,0.04582236343785631,Upper Canopy
I',none,prop_c_consumed,0.3286726696500047,0.0401439029590226,Upper Canopy
h_overstory,none,prop_c_remain,0,0,Upper Canopy
h_understory,none,prop_c_remain,0,0,Upper Canopy
k_mort_u,up,prop_c_remain,0.2342505547877747,0.03817383842122077,Upper Canopy
k_consumption,up,prop_c_remain,0.4559612426569305,0.05201392455802676,Upper Canopy
k1_mort_o,up,prop_c_remain,0.2780448121191902,0.035674354448611674,Upper Canopy
k2_mort_o,up,prop_c_remain,0.7601962194573577,0.046065959604609664,Upper Canopy
I',none,prop_c_remain,0.353622267200453,0.04016591028936854,Upper Canopy
h_overstory,none,prop_c_mort,0,0,Lower Canopy
h_understory,none,prop_c_mort,0,0,Lower Canopy
k_mort_u,low,prop_c_mort,0.4189554886942975,0.04949470068865496,Lower Canopy
k_consumption,low,prop_c_mort,0,0,Lower Canopy
k1_mort_o,low,prop_c_mort,0,0,Lower Canopy
k2_mort_o,low,prop_c_mort,0,0,Lower Canopy
I',none,prop_c_mort,0.7452118415635001,0.06913991508599243,Lower Canopy
h_overstory,none,prop_mort_consumed,0,0,Lower Canopy
h_understory,none,prop_mort_consumed,0,0,Lower Canopy
k_mort_u,low,prop_mort_consumed,0.3363667622523365,0.03834897270669011,Lower Canopy
k_consumption,low,prop_mort_consumed,0.27738940177284294,0.03744050650188833,Lower Canopy
k1_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
I',none,prop_mort_consumed,0.6428681375767219,0.05757813594777468,Lower Canopy
h_overstory,none,prop_c_consumed,0,0,Lower Canopy
h_understory,none,prop_c_consumed,0,0,Lower Canopy
k_mort_u,low,prop_c_consumed,0.39819503415088237,0.040695245995125445,Lower Canopy
k_consumption,low,prop_c_consumed,0.09832414496779655,0.018928560057467122,Lower Canopy
k1_mort_o,low,prop_c_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_c_consumed,0,0,Lower Canopy
I',none,prop_c_consumed,0.7259474539767492,0.04751091111898191,Lower Canopy
h_overstory,none,prop_c_remain,0,0,Lower Canopy
h_understory,none,prop_c_remain,0,0,Lower Canopy
k_mort_u,low,prop_c_remain,0.39953364496295024,0.04265418065051809,Lower Canopy
k_consumption,low,prop_c_remain,0.6050807724499558,0.05695775759662102,Lower Canopy
k1_mort_o,low,prop_c_remain,0,0,Lower Canopy
k2_mort_o,low,prop_c_remain,0,0,Lower Canopy
I',none,prop_c_remain,0.5392700591385479,0.05113777829280215,Lower Canopy
